FID,ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
0,29,MISSOURI,MO,Andrew,29003,"Andrew County, Missouri",432.703181665,17347.0,0.0,7289.0,68.0,6837.0,131.0,1568.0,336.0,392.0,122.0,26661.0,1323.0,1128.0,177.0,3011.0,20.0,3992.0,0.0,2432.0,279.0,495.0,153.2,854.0,23.0,0.0,68.0,134.0,84.6,542.0,111.0,99.0,73.3,193.0,74.0,207.0,131.0,9.2,2.0,4.4,1.4,26661.0,1323.0,9.4,1.5,17.4,0.1,23.0,0.0,14.2,1.6,7.2,2.2,4.9,0.1,0.0,0.4,1.8,1.2,7.4,1.5,1.4,1.1,2.8,1.1,1.2,0.8,0.0439,0.0965,0.0702,0.1053,0.3158,0.0175,0.4386,0.4649,0.1754,0.2719,1.3509,0.114,0.307,0.0,0.307,0.0702,0.5,0.2193,0.3158,0.0,0.2018,1.2368,0.0088,3.2105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1246.0,220.0,7.3,1.3,10324.0
1,29,MISSOURI,MO,Audrain,29007,"Audrain County, Missouri",692.234641405,25868.0,0.0,10795.0,103.0,9255.0,267.0,4193.0,634.0,913.0,207.0,19692.0,1180.0,2736.0,300.0,4364.0,72.0,6013.0,38.0,3571.0,305.0,822.0,194.8,3300.0,206.0,138.0,80.4,168.0,132.8,627.0,127.0,136.0,63.2,636.0,176.0,1967.0,243.0,17.7,2.7,7.9,1.8,19692.0,1180.0,15.5,1.7,16.9,0.3,23.2,0.1,14.9,1.3,8.9,2.1,12.8,0.8,0.6,0.3,1.6,1.2,5.8,1.2,1.5,0.7,6.9,1.9,7.6,0.9,0.4825,0.6842,0.7456,0.6316,2.5439,0.7105,0.3684,0.5175,0.2281,0.6228,1.7368,0.307,0.7895,0.7018,1.4912,0.8158,0.386,0.1579,0.3246,0.693,0.8772,2.4386,0.4561,8.2105,0.6491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3093.0,576.0,12.9,2.4,25398.0
2,29,MISSOURI,MO,Bates,29013,"Bates County, Missouri",836.688338655,16513.0,0.0,7827.0,68.0,6617.0,176.0,2623.0,419.0,430.0,103.0,22250.0,949.0,1662.0,162.0,3115.0,41.0,4006.0,69.0,2990.0,294.0,594.0,131.4,863.0,17.0,28.0,65.8,83.0,67.7,1004.0,166.0,117.0,40.8,339.0,90.0,321.0,114.0,16.3,2.6,5.6,1.4,22250.0,949.0,14.7,1.4,18.9,0.2,24.3,0.4,18.4,1.8,9.0,2.0,5.2,0.1,0.2,0.4,1.1,0.9,12.8,2.1,1.8,0.6,5.1,1.4,1.9,0.7,0.3421,0.3246,0.4123,0.5789,1.6579,0.4123,0.5965,0.7719,0.6404,0.6491,2.6579,0.8684,0.3684,0.3596,0.7281,0.3333,0.2281,0.5965,0.4737,0.2807,0.5175,2.0965,0.2895,7.1404,0.4035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2234.0,379.0,13.8,2.3,12178.0
3,29,MISSOURI,MO,Caldwell,29025,"Caldwell County, Missouri",426.391954898,9057.0,0.0,4605.0,47.0,3738.0,106.0,1153.0,142.0,176.0,64.0,23273.0,1092.0,624.0,104.0,1705.0,21.0,2195.0,25.0,1587.0,143.0,274.0,57.3,459.0,15.0,38.0,63.6,21.0,11.7,720.0,98.0,107.0,58.8,157.0,42.0,201.0,87.0,13.2,1.6,4.4,1.6,23273.0,1092.0,10.0,1.7,18.8,0.2,24.2,0.3,17.9,1.6,7.3,1.5,5.1,0.2,0.4,0.7,0.5,0.3,15.6,2.1,2.9,1.6,4.2,1.1,2.2,1.0,0.1667,0.0965,0.307,0.1491,0.7193,0.1053,0.5702,0.7632,0.5702,0.307,2.2105,0.6667,0.3509,0.6404,0.9912,0.5351,0.0789,0.7368,0.8246,0.1404,0.5965,2.3772,0.4035,6.2982,0.2281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,759.0,135.0,8.6,1.5,6399.0
4,29,MISSOURI,MO,Cape Girardeau,29031,"Cape Girardeau County, Missouri",578.534567685,78089.0,0.0,33025.0,180.0,29831.0,433.0,13236.0,961.0,2331.0,374.0,25348.0,945.0,4927.0,475.0,12081.0,123.0,16748.0,103.0,10448.0,603.0,2178.0,339.0,10391.0,14.0,263.0,154.3,2134.0,314.6,2274.0,271.0,505.0,133.8,1865.0,272.0,3504.0,446.0,17.7,1.3,5.9,0.9,25348.0,945.0,9.8,0.9,15.5,0.2,21.4,0.1,13.6,0.8,7.3,1.1,13.3,0.0,0.4,0.2,6.5,1.0,6.9,0.8,1.7,0.4,6.3,0.9,4.5,0.6,0.4825,0.4123,0.1228,0.1404,1.1579,0.2018,0.2281,0.2105,0.1316,0.2982,0.8684,0.0351,0.8158,0.5877,1.4035,0.7544,0.8947,0.193,0.4474,0.5263,0.7895,2.8509,0.6667,6.2807,0.2193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6816.0,603.0,8.9,0.8,86783.0
5,29,MISSOURI,MO,Carroll,29033,"Carroll County, Missouri",694.621349451,9009.0,0.0,4610.0,31.0,3703.0,130.0,1632.0,304.0,357.0,113.0,24484.0,2124.0,880.0,152.0,1847.0,16.0,2063.0,45.0,1477.0,163.0,335.0,97.6,447.0,15.0,16.0,60.6,50.0,28.5,439.0,70.0,90.0,44.0,308.0,83.0,115.0,50.0,18.5,3.5,8.6,2.6,24484.0,2124.0,14.1,2.5,20.5,0.2,22.9,0.5,16.6,1.8,9.0,2.6,5.0,0.2,0.2,0.7,1.1,0.6,9.5,1.5,2.4,1.2,8.3,2.2,1.3,0.6,0.5789,0.7895,0.193,0.5351,2.0965,0.5702,0.7807,0.4211,0.4386,0.6667,2.307,0.7018,0.3158,0.3772,0.693,0.307,0.2368,0.3596,0.7544,0.8421,0.2281,2.4211,0.4211,7.5175,0.5263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1117.0,248.0,12.5,2.8,6808.0
6,29,MISSOURI,MO,Cass,29037,"Cass County, Missouri",696.582769233,101324.0,0.0,40547.0,110.0,38045.0,366.0,9330.0,952.0,2991.0,393.0,29197.0,804.0,5109.0,380.0,15555.0,143.0,25477.0,0.0,13205.0,637.0,3233.0,400.1,11404.0,127.0,535.0,184.7,1033.0,206.3,1939.0,283.0,690.0,186.3,1359.0,212.0,1041.0,211.0,9.3,1.0,5.7,0.7,29197.0,804.0,7.5,0.6,15.4,0.1,25.1,0.0,13.1,0.6,8.5,1.0,11.3,0.1,0.6,0.2,2.5,0.5,4.8,0.7,1.8,0.5,3.6,0.6,1.0,0.2,0.0526,0.3596,0.0351,0.0526,0.5,0.0614,0.2193,0.8947,0.1053,0.5614,1.7807,0.3421,0.7456,0.6842,1.4298,0.7719,0.6842,0.0965,0.5175,0.0614,0.1053,1.4649,0.0526,5.1754,0.1053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8408.0,807.0,8.4,0.8,76794.0
7,29,MISSOURI,MO,Chariton,29041,"Chariton County, Missouri",751.176782763,7615.0,0.0,4143.0,49.0,2905.0,109.0,1130.0,207.0,126.0,40.0,23029.0,1789.0,663.0,82.0,1726.0,7.0,1726.0,10.0,1354.0,150.0,135.0,39.7,340.0,3.0,0.0,60.0,27.0,20.2,426.0,71.0,36.0,20.0,127.0,34.0,229.0,101.0,15.4,2.8,3.7,1.2,23029.0,1789.0,12.3,1.5,22.7,0.1,22.7,0.1,18.3,1.9,4.6,1.4,4.5,0.0,0.0,0.8,0.7,0.5,10.3,1.7,1.2,0.7,4.4,1.2,3.0,1.3,0.2982,0.0263,0.3246,0.3158,0.9649,0.1667,0.886,0.4035,0.6228,0.0088,1.9211,0.4386,0.2193,0.0,0.2193,0.0439,0.1316,0.4211,0.1667,0.1754,0.6754,1.5702,0.0877,4.6754,0.0526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,91.0,7.4,1.2,5810.0
8,29,MISSOURI,MO,Clark,29045,"Clark County, Missouri",504.692220802,6860.0,0.0,3465.0,49.0,2837.0,117.0,928.0,159.0,147.0,51.0,25149.0,2524.0,647.0,115.0,1342.0,25.0,1597.0,0.0,972.0,144.0,249.0,76.3,189.0,15.0,32.0,61.6,11.0,10.4,586.0,86.0,41.0,23.6,145.0,50.0,72.0,90.0,13.8,2.4,4.4,1.5,25149.0,2524.0,13.5,2.4,19.6,0.4,23.3,0.0,14.4,2.1,8.8,2.7,2.8,0.2,0.5,1.0,0.3,0.3,16.9,2.5,1.4,0.8,5.1,1.7,1.0,1.3,0.2018,0.0965,0.1404,0.4561,0.8947,0.1491,0.693,0.5351,0.1842,0.5965,2.0088,0.5088,0.0351,0.6667,0.7018,0.3158,0.0439,0.8158,0.307,0.2807,0.1404,1.5877,0.0965,5.193,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,944.0,188.0,13.9,2.8,4821.0
9,29,MISSOURI,MO,Dade,29057,"Dade County, Missouri",490.011047465,7590.0,0.0,3924.0,63.0,3099.0,126.0,1520.0,242.0,294.0,69.0,20624.0,1091.0,738.0,116.0,1689.0,23.0,1609.0,25.0,1379.0,149.0,254.0,70.2,444.0,15.0,20.0,56.9,36.0,24.2,518.0,93.0,72.0,33.3,136.0,36.0,154.0,56.0,20.6,3.3,8.2,1.9,20624.0,1091.0,13.5,2.1,22.3,0.3,21.2,0.3,18.5,2.0,8.2,2.2,5.8,0.2,0.3,0.8,0.9,0.6,13.2,2.4,2.3,1.1,4.4,1.1,2.0,0.7,0.7281,0.7456,0.6053,0.4561,2.5351,0.7018,0.8596,0.1667,0.6491,0.5,2.1754,0.6491,0.5,0.4912,0.9912,0.5351,0.1842,0.6053,0.7456,0.1754,0.5439,2.2544,0.3509,7.9561,0.6228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1253.0,224.0,16.8,3.0,5883.0
